unique_event_ID,same_whale_ID,new_dist_shore_whale_m,nearest_X_land_UTM,nearest_Y_land_UTM
2008-06-23-K-073,2008-06-23-K-073,13513.80216,402824.9465,6451741.693
2008-06-23-K-072,2008-06-23-K-072,13457.04609,402824.9465,6451741.693
2008-08-06-K-087,2008-08-06-K-087,6070.059242,493995.9425,6450934.4
2008-08-31-K-104,2008-08-31-K-104,4108.9879,490590.171,6438321.599
2008-08-17-K-058,2008-08-17-K-058,5461.800493,487413.4834,6438723.767
2008-08-06-K-086,2008-08-06-K-086,3431.297388,490606.5075,6451770.853
2008-08-31-K-102,2008-08-31-K-102,5759.334249,487413.4834,6438723.767
2008-08-31-K-101,2008-08-31-K-101,6161.073226,490606.5075,6451770.853
2009-06-10-K-102,2009-06-10-K-102,133.643872,417808.2153,6459873.36
2009-06-28-K-009,2009-06-28-K-009,4765.216944,455719.0603,6458619.032
2009-07-06-K-051,2009-07-06-K-051,1291.478967,417705.4313,6459830.046
2009-08-12-K-085,2009-08-12-K-085,177.735926,417848.2543,6459885.176
2009-06-21-K-016,2009-06-21-K-016,3034.671748,439184.4036,6464631.93
2009-06-24-K-084,2009-06-24-K-084,1141.219622,437932.3067,6464186.648
2009-08-16-K-053,2009-08-16-K-053,2340.507029,439184.4036,6464631.93
2011-08-19-N-004,2011-08-19-N-004,2196.640333,440104.1335,6485561.283
2010-08-15-K-085,2010-08-15-K-085,2974.253755,504977.1425,6420399.692
2008-07-13-K-108,2008-07-13-K-108,4315.983595,514845.4064,6421865.487
2008-06-18-K-076,2008-06-18-K-076,2121.410784,504797.7035,6419574.01
2009-05-24-K-015,2009-05-24-K-015,3153.212194,456495.5365,6456764.021
2009-07-06-K-053,2009-07-06-K-053,320.487471,417590.1269,6459363.973
2010-07-19-K-011,2010-07-19-K-011,2988.750542,461975.6677,6465245.287
2010-08-02-K-006,2010-08-02-K-006,2225.892591,454171.3127,6460806.326
2009-07-20-K-100,2009-07-20-K-100,1162.299551,417673.5179,6459802.666
2009-07-01-K-012,2009-07-01-K-012,1255.639287,453449.6665,6460999.103
2009-06-01-K-012,2009-06-01-K-012,3862.251426,454080.8363,6460874.913
2009-08-31-K-077,2009-08-31-K-077,1937.68689,434254.7965,6467308.317
2009-05-24-K-077,2009-05-24-K-077,3141.80139,439184.4036,6464631.93
2009-08-09-K-086,2009-08-09-K-086,1413.38311,439184.4036,6464631.93
2010-08-30-K-012,2010-08-30-K-012,4426.235103,446442.6705,6471241.079
2009-07-01-K-023,2009-07-01-K-023,5359.983806,439184.4036,6464631.93
2009-08-19-K-081,2009-08-19-K-081,1736.324418,439084.3462,6464695.484
2009-09-07-K-094,2009-09-07-K-094,1950.31941,434519.9371,6463137.805
2009-06-21-K-076,2009-06-21-K-076,1966.547329,437793.5964,6464134.685
2010-08-30-K-013,2010-08-30-K-013,3456.055615,446266.4164,6471341.167
2009-05-11-K-024,2009-05-11-K-024,629.372805,439223.062,6470511.314
2009-07-20-K-086,2009-07-20-K-086,2037.075064,436413.6209,6468861.823
2008-07-13-K-029,2008-07-13-K-029,2298.597561,446481.278,6471228.615
2008-08-11-K-071,2008-08-11-K-071,1123.405043,439251.873,6470527.013
2009-09-28-K-089,2009-09-28-K-089,1336.469187,437446.2059,6481212.992
2008-09-10-N-004,2008-09-10-N-004,1219.409402,437433.4501,6481250.576
2010-06-06-N-011,2010-06-06-N-011,1995.370263,434489.5693,6487714.532
2011-07-15-N-042,2011-07-15-N-042,1742.347679,440137.328,6486338.956
2012-08-03-N-030,2012-08-03-N-030,1472.082822,437173.9446,6481501.938
2009-08-23-N-048,2009-08-23-N-048,1496.419095,434489.5693,6487714.532
2007-08-05-N-006,2007-08-05-N-006,260.462485,433217.166,6488311.564
2010-08-01-N-048,2010-08-01-N-048,1646.018763,440137.328,6486338.956
2010-07-25-K-089,2010-07-25-K-089,4912.544279,473477.8017,6447483.404
2008-06-15-K-080,2008-06-15-K-080,3018.99501,471219.0738,6449714.538
2008-05-11-N-002,2008-05-11-N-002,2155.474695,442283.549,6480757.182
2008-08-03-K-085,2008-08-03-K-085,3181.95758,442935.1767,6480195.475
2007-08-08-N-002,2007-08-08-N-002,1068.21327,441674.4112,6485730.92
2009-07-26-K-085,2009-07-26-K-085,110.758998,418007.2969,6459884.577
2008-06-11-K-005,2008-06-11-K-005,4275.883334,455719.0603,6458619.032
2010-08-02-K-007,2010-08-02-K-007,1965.517027,454151.1355,6460833.875
2008-06-11-K-008,2008-06-11-K-008,2940.373999,453092.6272,6460997.376
2010-05-26-N-002,2010-05-26-N-002,1679.370893,440168.0387,6485494.895
2009-05-27-N-058,2009-05-27-N-058,78.610052,442530.2609,6480734.56
2010-07-16-N-004,2010-07-16-N-004,3163.49657,440560.7796,6487001.536
2010-06-14-N-056,2010-06-14-N-056,1345.958992,436394.1422,6482603.206
2009-08-19-K-002,2009-08-19-K-002,1400.600792,453092.6272,6460997.376
2009-07-01-K-015,2009-07-01-K-015,1473.753488,451715.153,6460451.574
2008-07-13-K-020,2008-07-13-K-020,6060.864646,439320.1173,6462286.714
2008-08-03-K-090,2008-08-03-K-090,4713.248393,451692.7782,6460451.422
2009-07-15-K-080,2009-07-15-K-080,1605.630546,434193.6931,6462884.066
2009-07-15-K-006,2009-07-15-K-006,5095.815888,453092.6272,6460997.376
2008-07-13-K-088,2008-07-13-K-088,1701.648262,455704.0746,6458640.013
2008-07-16-K-102,2008-07-16-K-102,4891.689385,453092.6272,6460997.376
2009-08-19-K-084,2009-08-19-K-084,2425.049057,431657.381,6467365.444
2008-08-06-K-009,2008-08-06-K-009,5637.80579,453092.6272,6460997.376
2010-08-15-K-070,2010-08-15-K-070,524.923478,453969.2816,6460878.803
2010-07-19-K-016,2010-07-19-K-016,5526.452298,451692.7782,6460451.422
2008-08-03-K-091,2008-08-03-K-091,5141.146601,451692.7782,6460451.422
