"","unique_event_ID","same_whale_ID","ship","count","count_factor","ship_speed","distance","whale_behavior","visibility","waves","X_whale_UTM","Y_whale_UTM","ship_speed_scaled","grid_ID","ship_whale_dist_round","det_idx","det_prob","adjusted_count","adjusted_count_sum","count_sum"
"3458","2013-07-14-N-034","2013-07-14-N-034","Grand Princess",2,"2-3",7.219367465,2780.333917,"BL-Blowing","good","1'",436324.8971,6486314.919,-2.22410808207,9798,2780,"2_good_2780",0.232498780140255,8.60219567084825,337.246449972555,26
"3459","2013-07-17-S-012","2013-07-17-S-012","Zuiderdam",2,"2-3",12.38928652,493.8979462,"DF-Dive-fluke-up","good","calm",443963.256,6465877.041,-0.671156387047,8591,490,"2_good_490",0.999997613234301,2.00000477354279,34.5775262860055,7
"3460","2013-07-17-S-020","2013-07-17-S-020","Zuiderdam",2,"2-3",10.77240106,2286.187527,"RE-Resting","good","calm",444274.2795,6473875.807,-1.15684000976,9330,2290,"2_good_2290",0.335447624167018,5.96218263571366,9.60079002576995,3
"3461","2013-07-21-S-011","2013-07-21-S-011","Volendam",3,"2-3",10.58389403,3494.135249,"BL-Blowing","good","calm",436197.175,6484146.23,-1.21346416744,9721,3490,"3_good_3490",0.146951515911686,20.4148965826452,440.876072498356,14
"3462","2013-07-22-N-022","2013-07-22-N-022","Coral Princess",2,"2-3",12.42184982,4986.566353,"DF-Dive-fluke-up","good","calm",437073.8521,6490171.153,-0.661374951131,9907,4990,"2_good_4990",0.068839222324394,29.0532044446306,179.543294522612,20
"3463","2013-07-22-N-024","2013-07-22-N-024","Coral Princess",2,"2-3",10.34150247,1408.762898,"BL-Blowing","good","calm",437413.6986,6491267.527,-1.28627427916,9922,1410,"2_good_1410",0.702288843332573,2.84783108686362,135.297817588741,17
"3464","2013-07-24-S-003","2013-07-24-S-003","Zuiderdam",3,"2-3",5.035013922,3189.246083,"BL-Blowing","good","calm",437691.5542,6479481.353,-2.88024901987,9588,3190,"3_good_3190",0.176677976639848,16.9800450347889,27.3248487401603,4
"3465","2013-07-25-N-031","2013-07-25-N-031","Norwegian Pearl",2,"2-3",9.105183575,4488.842527,"DF-Dive-fluke-up","good","calm",437445.4745,6488083.618,-1.65764247722,9839,4490,"2_good_4490",0.0864020696980596,23.147593651277,387.207454507712,37
"3466","2013-08-03-N-026","2013-08-03-N-026","Grand Princess",2,"2-3",13.66185869,4468.068382,"BL-Blowing","good","calm",438442.3215,6487904.958,-0.288898350236,9840,4470,"2_good_4470",0.0872318429331901,22.9274073864492,103.274614171585,19
"3467","2013-08-06-N-018","2013-08-06-N-018","Westerdam",2,"2-3",15.62045919,2189.404256,"BL-Blowing","good","calm",436352.8248,6495455.281,0.299430390308,10048,2190,"2_good_2190",0.36342305428075,5.50322819766675,47.0092713909224,8
